date,hour,time_local,month,weekday,season,usage,prcp,tmax,tmin,year
2020-06-25,8,08:00:00,June,Thursday,Summer,0.74,0,77,59,2020
2020-06-25,9,09:00:00,June,Thursday,Summer,0.5900000000000001,0,77,59,2020
2020-06-25,10,10:00:00,June,Thursday,Summer,1.71,0,77,59,2020
2020-06-25,11,11:00:00,June,Thursday,Summer,0.76,0,77,59,2020
2020-06-25,12,12:00:00,June,Thursday,Summer,0.39,0,77,59,2020
2020-06-25,13,13:00:00,June,Thursday,Summer,2.68,0,77,59,2020
2020-06-25,14,14:00:00,June,Thursday,Summer,2.56,0,77,59,2020
2020-06-25,15,15:00:00,June,Thursday,Summer,4.58,0,77,59,2020
2020-06-25,16,16:00:00,June,Thursday,Summer,1.73,0,77,59,2020
2020-06-25,17,17:00:00,June,Thursday,Summer,1.9,0,77,59,2020
2020-06-25,18,18:00:00,June,Thursday,Summer,0.7,0,77,59,2020
2020-06-25,19,19:00:00,June,Thursday,Summer,0.66,0,77,59,2020
2020-06-25,20,20:00:00,June,Thursday,Summer,0.69,0,77,59,2020
2020-06-25,21,21:00:00,June,Thursday,Summer,1.16,0,77,59,2020
2020-06-25,22,22:00:00,June,Thursday,Summer,0.69,0,77,59,2020
2020-06-25,23,23:00:00,June,Thursday,Summer,2.31,0,77,59,2020
2020-06-26,0,00:00:00,June,Friday,Summer,0.35,0,79,57,2020
2020-06-26,1,01:00:00,June,Friday,Summer,0.72,0,79,57,2020
2020-06-26,2,02:00:00,June,Friday,Summer,1.02,0,79,57,2020
2020-06-26,3,03:00:00,June,Friday,Summer,0.22999999999999998,0,79,57,2020
2020-06-26,4,04:00:00,June,Friday,Summer,0.11,0,79,57,2020
2020-06-26,5,05:00:00,June,Friday,Summer,0.1,0,79,57,2020
2020-06-26,6,06:00:00,June,Friday,Summer,0.36000000000000004,0,79,57,2020
2020-06-26,7,07:00:00,June,Friday,Summer,0.34,0,79,57,2020
2020-06-26,8,08:00:00,June,Friday,Summer,0.11,0,79,57,2020
2020-06-26,9,09:00:00,June,Friday,Summer,0.17,0,79,57,2020
2020-06-26,10,10:00:00,June,Friday,Summer,0.8,0,79,57,2020
2020-06-26,11,11:00:00,June,Friday,Summer,0.77,0,79,57,2020
2020-06-26,12,12:00:00,June,Friday,Summer,0.85,0,79,57,2020
2020-06-26,13,13:00:00,June,Friday,Summer,0.74,0,79,57,2020
2020-06-26,14,14:00:00,June,Friday,Summer,0.65,0,79,57,2020
2020-06-26,15,15:00:00,June,Friday,Summer,0.30000000000000004,0,79,57,2020
2020-06-26,16,16:00:00,June,Friday,Summer,0.7,0,79,57,2020
2020-06-26,17,17:00:00,June,Friday,Summer,2.24,0,79,57,2020
2020-06-26,18,18:00:00,June,Friday,Summer,1.28,0,79,57,2020
2020-06-26,19,19:00:00,June,Friday,Summer,0.89,0,79,57,2020
2020-06-26,20,20:00:00,June,Friday,Summer,0.39,0,79,57,2020
2020-06-26,21,21:00:00,June,Friday,Summer,0.52,0,79,57,2020
2020-06-26,22,22:00:00,June,Friday,Summer,1.9,0,79,57,2020
2020-06-26,23,23:00:00,June,Friday,Summer,5.13,0,79,57,2020
2020-06-27,0,00:00:00,June,Saturday,Summer,1.59,0.63,60,53,2020
2020-06-27,1,01:00:00,June,Saturday,Summer,0.69,0.63,60,53,2020
2020-06-27,2,02:00:00,June,Saturday,Summer,0.46,0.63,60,53,2020
2020-06-27,3,03:00:00,June,Saturday,Summer,0.12,0.63,60,53,2020
2020-06-27,4,04:00:00,June,Saturday,Summer,0.41000000000000003,0.63,60,53,2020
2020-06-27,5,05:00:00,June,Saturday,Summer,0.09,0.63,60,53,2020
