TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/15/2021,22:45,22:59,0.78,kWh,
Electric usage,1/15/2021,23:00,23:14,0.86,kWh,
Electric usage,1/15/2021,23:15,23:29,1.13,kWh,
Electric usage,1/15/2021,23:30,23:44,0.66,kWh,
Electric usage,1/15/2021,23:45,23:59,0.52,kWh,
Electric usage,1/16/2021,0:00,0:14,0.82,kWh,
Electric usage,1/16/2021,0:15,0:29,0.5,kWh,
Electric usage,1/16/2021,0:30,0:44,0.64,kWh,
Electric usage,1/16/2021,0:45,0:59,0.69,kWh,
Electric usage,1/16/2021,1:00,1:14,0.26,kWh,
Electric usage,1/16/2021,1:15,1:29,0.55,kWh,
Electric usage,1/16/2021,1:30,1:44,0.27,kWh,
Electric usage,1/16/2021,1:45,1:59,0.97,kWh,
Electric usage,1/16/2021,2:00,2:14,0.29,kWh,
Electric usage,1/16/2021,2:15,2:29,0.27,kWh,
Electric usage,1/16/2021,2:30,2:44,0.34,kWh,
Electric usage,1/16/2021,2:45,2:59,1.16,kWh,
Electric usage,1/16/2021,3:00,3:14,0.31,kWh,
Electric usage,1/16/2021,3:15,3:29,0.27,kWh,
Electric usage,1/16/2021,3:30,3:44,0.37,kWh,
Electric usage,1/16/2021,3:45,3:59,0.69,kWh,
Electric usage,1/16/2021,4:00,4:14,0.34,kWh,
Electric usage,1/16/2021,4:15,4:29,0.27,kWh,
Electric usage,1/16/2021,4:30,4:44,1.03,kWh,
Electric usage,1/16/2021,4:45,4:59,0.59,kWh,
Electric usage,1/16/2021,5:00,5:14,0.1,kWh,
Electric usage,1/16/2021,5:15,5:29,0.38,kWh,
Electric usage,1/16/2021,5:30,5:44,0.26,kWh,
Electric usage,1/16/2021,5:45,5:59,0.06,kWh,
Electric usage,1/16/2021,6:00,6:14,0.35,kWh,
Electric usage,1/16/2021,6:15,6:29,1.16,kWh,
Electric usage,1/16/2021,6:30,6:44,0.25,kWh,
Electric usage,1/16/2021,6:45,6:59,0.27,kWh,
